metal_product
Колено раструб-гладкий конец УРГ 200 ГОСТ 5525-88
Труба электросварная SAWL 21.3х2.77 ASTM A53 B
"Тройник 141,3х114,3 ASTM A53 B"
"Тройник 141,3х141,3 ASTM A53 B"
"Тройник 168,3х21,3 ASTM A53 B"
"Тройник 168,3х88,9 ASTM A53 B"
"Тройник 60,3х26,7 ASTM A53 B"
"Тройник 60,3х42,2 ASTM A53 B"
"Тройник 73,0х26,7 ASTM A53 B"
"Тройник 73,0х73,0 ASTM A53 B"
"Тройник 88,9х26,7 ASTM A53 B"
"Тройник 88,9х42,2 ASTM A53 B"
"Тройник 141,3х33,4 ASTM A53 B"
"Тройник 141,3х88,9 ASTM A53 B"
"Тройник 168,3х33,4 ASTM A53 B"
"Тройник 168,3х60,3 ASTM A53 B"
"Тройник 168,3х73,0 ASTM A53 B"
"Тройник 168,3х168,3 ASTM A53 B"
"Тройник 219,1х48,3 ASTM A53 B"
"Тройник 219,1х88,9 ASTM A53 B"
"Тройник 219,1х219,1 ASTM A53 B"
"Тройник 10,29х10,29 SS 316"
"Отвод электросварной (SAWL) 90 21,3х2,77 ASTM A53 B"
"Отвод электросварной (SAWL) 90 26,7х2,87 ASTM A53 B"
"Отвод электросварной (SAWL) 90 33,4х3,38 ASTM A53 B"
"Отвод электросварной (SAWL) 90 42,2х3,56 ASTM A53 B"
"Отвод электросварной (SAWL) 90 48,3х3,68 ASTM A53 B"
"Отвод электросварной (SAWL) 90 60,3х3,91 ASTM A53 B"
"Отвод электросварной (SAWL) 90 73,0х5,16 ASTM A53 B"
"Отвод электросварной (SAWL) 90 88,9х5,49 ASTM A53 B"
"Отвод электросварной (SAWL) 90 114,3х6,02 ASTM A53 B"
"Отвод электросварной (SAWL) 90 114,3х6,55 ASTM A53 B"
"Отвод электросварной (SAWL) 90 168,3х7,11 ASTM A53 B"
"Отвод 90 10,29х1,73 SS 316"
"Отвод 90 13.72х2,24 SS 316"
"Отвод 90 21,34х2,77 SS 316"
"Отвод 90 60,33х3,92 SS 316"
Переходник электросварной (SAWL) 26.7х2.87-21.3х2.77 ASTM A53 B
Переходник электросварной (SAWL) 33.4х3.38-21.3х2.78 ASTM A53 B
Переходник электросварной (SAWL) 33.4х3.38-21.3х2.77 ASTM A53 B
Переходник электросварной (SAWL) 42.2х3.56-21.3х2.77 ASTM A53 B
Переходник электросварной (SAWL) 42.2х3.56-26.7х2.87 ASTM A53 B
Переходник электросварной (SAWL) 42.2х3.56-33.4х3.38 ASTM A53 B
Переходник электросварной (SAWL) 48.3х3.68-21.3х2.77 ASTM A53 B
Переходник электросварной (SAWL) 48.3х3.68-26.7х2.87 ASTM A53 B
Переходник электросварной (SAWL) 48.3х3.68-33.4х3.38 ASTM A53 B
Переходник электросварной (SAWL) 48.3х3.68-42.2х3.56 ASTM A53 B
Переходник электросварной (SAWL) 60.3х3.91-21.3х2.77 ASTM A53 B
Переходник электросварной (SAWL) 60.3х3.91-26.7х2.87 ASTM A53 B
Переходник электросварной (SAWL) 60.3х3.91-33.4х3.38 ASTM A53 B
Переходник электросварной (SAWL) 60.3х3.91-42.2х3.56 ASTM A53 B
Переходник электросварной (SAWL) 60.3х3.91-48.3х3.68 ASTM A53 B
Переходник электросварной (SAWL) 73.0х5.16-21.3х2.77 ASTM A53 B
Переходник электросварной (SAWL) 88.9х5.49-21.3х2.77 ASTM A53 B
Переходник электросварной (SAWL) 88.9х5.49-48.3х3.68 ASTM A53 B
Переходник электросварной (SAWL) 88.9х5.49-60.3х3.91 ASTM A53 B
Переходник электросварной (SAWL) 88.9х5.49-73.0х5.16 ASTM A53 B
Переходник электросварной (SAWL) 114.3х6.02-48.3х3.68 ASTM A53 B
Переходник электросварной (SAWL) 141.3х6.55-73.0х5.16 ASTM A53 B
Переходник электросварной (SAWL) 141.3х6.55-114.3х6.02 ASTM A53 B
Переходник электросварной (SAWL) 168.3х7.11-33.4х3.38 ASTM A53 B
Переходник электросварной (SAWL) 168.3х7.11-48.3х3.68 ASTM A53 B
Переходник электросварной (SAWL) 168.3х7.11-73.0х5.16 ASTM A53 B
Переходник электросварной (SAWL) 219.1х8.18-114.3х6.02 ASTM A53 B
Переходник электросварной (SAWL) 114.3х6.02-21.3х2.77 ASTM A53 B
Переходник электросварной (SAWL) 114.3х6.02-60.3х3.91 ASTM A53 B
Переходник электросварной (SAWL) 114.3х6.02-73.0х5.16 ASTM A53 B
Переходник электросварной (SAWL) 114.3х6.02-88.9х5.49 ASTM A53 B
Переходник электросварной (SAWL) 141.3х6.55-21.3х2.77 ASTM A53 B
Переходник электросварной (SAWL) 141.3х6.55-60.3х3.91 ASTM A53 B
Переходник электросварной (SAWL) 168.3х7.11-21.3х2.77 ASTM A53 B
Переходник электросварной (SAWL) 168.3х7.11-60.3х3.91 ASTM A53 B
Переходник электросварной (SAWL) 168.3х7.11-88.9х5.49 ASTM A53 B
Переходник электросварной (SAWL) 168.3х7.11-141.3х6.55 ASTM A53 B
Переходник электросварной (SAWL) 73.0х5.16-48.3х3.68 ASTM A53 B
Переходник электросварной (SAWL) 73.0х5.16-60.3х3.91 ASTM A53 B
Переходник электросварной (SAWL) 88.9х5.49-42.2х3.56 ASTM A53 B
Переходник 13.72х2.24-10.29х1.73 SS 316
Переходник 21.34х2.77-10.29х1.73 SS 316
Переходник 60.33х3.92-10.29х1.73 SS 316
"Тройник 13,72х10,29 SS 316"
"Тройник 13,72х13,72 SS 316"
"Тройник 21,34х10,29 SS 316"
"Тройник 21,34х13,72 SS 316"
"Тройник 60,33х10,29 SS 316"
"Тройник 60,33х13,72 SS 316"
"Алюминий рулонный 0,4х1250ММ"
Полоса стальная 30х6мм
Полоса 4х40 Ст3 ГОСТ 103-2006 ГОСТ 535-2005
Tруба стальная бесшовная Ø325х8мм
Tруба стальная бесшовная Ø159х6
Труба 20х3 ГОСТ 8734-75 В20 ГОСТ 8733-74
Труба 14х3 ГОСТ 8734-75 В20 ГОСТ 8733-74
Tруба Ст20 57х4
Труба 273х7 Ст20 ТУ 14-3Р-1128-2007
ФЛАНЕЦ ПЛОСКИЙГОСТ 12820-80(01) 1-250-25СТ.3(20)
Полоса 4х140 С245 ГОСТ 103-2006
Лист стальной просечно вытяжной ПВ1 606 6х1000х6000ММ ТУ 36.26.11-5-89
Двутавр 40 С245 СТО АСЧМ 20-93
Лента 2х30 ГОСТ 6009-74 ВСт3пс ГОСТ 535-2005
ДВУТАВР 24М.
ШВЕЛЛЕР ИЗ СТАЛИ С255 №8
Полоса стальная 4х40 С245 ГОСТ 103-76 ГОСТ 27772-88
Швеллер 24А ГОСТ 8240-97 С245 ГОСТ 27772-88
КРУГ Ø 6ММ
Лист стальной просечно вытяжной ПВ1 506 5х1000х6000ММ ТУ 36.26.11-5-89
Уголок 25х25х5 ГОСТ 8509-93 С245 ГОСТ 27772-88
Профиль 40х40х4 ГОСТ 30245-2003 С245
Профиль стальной гнутый замкнутый сварной 120х120х5 С245 ГОСТ 30245-2003
ТРУБА ПРОФИЛЬНАЯ ГН. 160Х160Х5 С345-3
Швеллер 18 С245 ГОСТ 8240-97
Профиль стальной гнутый замкнутый сварной 120х120х4 С245 ГОСТ 30245-2003
ТРУБА ПРОФИЛЬНАЯ 50х50х5
УГОЛОК 80Х80Х6 С345-3
АРМАТУРА Ø6 АIII (25Г2С)
"Лента М-0,7×20"
Профиль стальной гнутый замкнутый сварной 140х140х5 С245 ГОСТ 30245-2003
Профиль 100х100х5 ГОСТ 30245-2003 С245
Лист стальной 14х1500х6500мм
Лист стальной 10х1500х6500мм
ЛИСТ Т=25ММ
Лист T=3х1500х6500
ЛИСТ Т=18ММ
Лист T=28х1500х6500
Лист стальной 22х1500х6500мм
Лист стальной 36х1500х6500мм
Лист стальной 12х1500х6500мм
Лист стальной 50х1500х6500мм
Лист T=40х1500х6500
Лист стальной 26х1500х6500мм
Лист T=1х1500х6500
Лист стальной 4х1500х6500мм
Лист стальной 20х1500х6500мм
Лист стальной 2х1250х2500мм
Лист стальной 24х1500х6500мм
Лист T=100х1500х6500
Лист T=16х1500х6500
Лист T=5х1500х6500
Лист T=32х1500х6500
Лист стальной 18х1500х6500мм
Лист стальной 6х1500х6500мм
"Лист T=2,5х1500х6500"
Лист T=60х1500х6500
Лист стальной 8х1500х6500мм
Лист стальной 30х1500х6500мм
Лист T=45х1500х6500
Лист T=24х1500х6500
Лист стальной 16х1500х6500мм
"Элементы конструкции металлическими с крепежными изделиями для прожекторной мачты ПМЖ 20,46 "
СЕТКА СВАРНАЯ 6Х150Х150
"Лист стальной t=5 мм Ст3, Ст3Гсп"
ЛИСТ 8 С345-3
ЛИСТ T=12ММ
ЛИСТ 5 С345-3
ЛИСТ 16 С345-3
Лист с ромбическим рифлением t=5мм
ЛИСТ 10 мм
ЛИСТ T=30ММ
Опора хомутовая корпусная тип 273-КХ-А11-Н
Опора хомутовая тип 426-ХБ-А
Опора хомутовая тип 159-ХБ-А
Опора диэлектрическая тип Т17-100.1020-Н
Опора хомутовая тип 89-ХБ-А
Опора хомутовая корпусная тип 219-КХ-А11-Н
Опора диэлектрическая тип Т17-100.630-Н
Опора хомутовая тип 25-ХБ-А
Опора хомутовая тип 57-ХБ-А
Опора подвижная лист R-515 Толшина 10
Опора подвижная лист R-270 Толшина 14
Опора хомутовая тип 32-ХБ-А
Опора подвижная лист R-270 Толшина 10
Опора хомутовая тип 325-ХБ-А
Опора хомутовая корпусная тип 426-КХ-А11-Н
Опора регулируемая  ОР-Dн-426
Опора регулируемая ОР-Dн-630
Опора подвижная лист R-320 Толшина 16
Опора диэлектрическая тип Т17-100.530-Н
Опора хомутовая корпусная тип 426-КХ-А11
Опора хомутовая тип 114-ХБ-А
Опора регулируемая ОР-Dн-530
Опора диэлектрическая тип Т17-100.426-Н
Опора хомутовая тип 219-ХБ-А
Фланец изолирующий ИФС УХЛ Ру 16 Ду 80
Фланец изолирующий ИФС УХЛ Ру 63 Ду 80
Фланец изолирующий ИФС УХЛ Ру 63 Ду 50
Фланец изолирующий ИФС УХЛ Ру 16 Ду 100
Фланец изолирующий ИФС УХЛ Ру 16 Ду 50
Фланец изолирующий ИФС УХЛ Ру 16 Ду 30
Лист стальной горячеоцинкованный t=5мм
Полоса стальная горячеоцинкованная 60х5мм
Двутавр стальной горячекатаный L75х75х9 Ст3сп ГОСТ 8509-93
Уголок стальной горячеоцинкованный L63х63х5
Труба стальная горячеоцинкованная Ø114х4
Труба профильная горячеоцинкованная 150х150х4
Закладная деталь CF7 700x700x12 12Х18Н10Т ГОСТ 19903-74 ГОСТ 5632-72
Закладная деталь CF2 2000x150x16 С245 ГОСТ 19903-74 ГОСТ 27772-88
Закладная деталь CF8 700x520x12 12Х18Н10Т ГОСТ 19903-74 ГОСТ 5632-72
Закладная деталь PL5 1380x830x40 С345 ГОСТ 19903-74 ГОСТ 27772-88
Закладная деталь CF1 1500x150x16 С245 ГОСТ 19903-74 ГОСТ 27772-88
Закладная деталь PL1 1150x1150x40 С345 ГОСТ 19903-74 ГОСТ 27772-88
Закладная деталь CF3 3100x150x16 С245 ГОСТ 19903-74 ГОСТ 27772-88
Закладная деталь PL4 1530x830x40 С345 ГОСТ 19903-74 ГОСТ 27772-88
Закладная деталь PL2 1150x1150x40 С345 ГОСТ 19903-74 ГОСТ 27772-88
Закладная деталь PL6 1305x830x40 С345 ГОСТ 19903-74 ГОСТ 27772-88
Закладная деталь CF4 2125x520x16 С245 ГОСТ 19903-74 ГОСТ 27772-88
Закладная деталь CF9 труба Ø530 L=400 Ст3сп ГОСТ 10704-91 ГОСТ 380-2005
Закладная деталь PL3 1270x1270x40 С345 ГОСТ 19903-74 ГОСТ 27772-88
"Оцинкованный металл в рулонах 1250х0,7ММ RAL6017"
"Оцинкованный металл в рулонах 1070х0,5ММ RAL6017"
"Оцинкованный металл в рулонах 1219х0,5ММ RAL6017"
"Штуцер Шц G1/2, L=200mm, NACE MR0175"
"Штуцер Шц G1/2, L=100mm"
"Штуцер Шц G1/2, L=100mm, NACE MR0175"
"Колпачок-заглушка КЗ-G1/2, NACE MR0175"
"Штуцер Шц G1/2, L=200mm"
"Бобышка 1-1-М20х1.5-100-20, Пробка 1-М20х1.5-20, Прокладка 21х30-ПОН, NACE MR0175"
Колпачок-заглушка КЗ-G1/2
Лист T=35х1500х6500
Лист T=10х1500х6500
Лист T=70х1500х6500
Лист T=55х1500х6500
Полоса 4х40
ПОЛОСА 40Х4
Полоса 40х4
Круг стальной оцинкованный ф16мм
"Рубашка металлическая оцинкованная 0,3t (ММ) для диаметров труб до 600ММ"
"Рубашка металлическая оцинкованная 0,4t (ММ) для диаметров труб до 600ММ"
Уголок 100х50х6
Уголок 75х6
Двутавр широкополочный HW150
Швеллер 10П 16700ММ Ст3 ГОСТ 8240-97
Швеллер 10П 24000ММ Ст3 ГОСТ 8240-97
Уголок 100х10ММ
Швеллер 10П 26000ММ Ст3 ГОСТ 8240-97
Швеллер 14П 24000ММ Ст3 ГОСТ 8240-97
Швеллер 14П 21200ММ Ст3 ГОСТ 8240-97
Уголок L50x6
Швеллер 14П 26000ММ Ст3 ГОСТ 8240-97
Швеллер 14П 14700ММ Ст3 ГОСТ 8240-97
Швеллер 14П 16700ММ Ст3 ГОСТ 8240-97
Уголок 50х5
Сталь листовая t=16ММ
Швеллер 10П 4550ММ Ст3 ГОСТ 8240-97
Уголок 90х7
Швеллер 14П 13400ММ Ст3 ГОСТ 8240-97
Уголок 60х6
Сетка арматурная ф3 100х100
Сетка арматурная Д=6х150х150
Отвод 90° 76х3 20 ГОСТ 1050-88 ГОСТ 17375-01
Отвод 90° 57х3 20 ГОСТ 1050-88 ГОСТ 17375-01
Отвод 90° 20х2 20 ГОСТ 1050-88 ГОСТ 17375-01
Переход стальной электросварной 76х57 ГОСТ 17380-01
"Бочонок с резьбой с одной стороны 2"" DN50 ГОСТ 6357-81"
"Бочонок с резьбой с одной стороны 1/2"" DN15 ГОСТ 6357-81"
"Сгон в комплекте с контр-гайкой 2"" DN50 ГОСТ 8969-75"
"Сгон в комплекте с контр-гайкой 1/2"" DN15 ГОСТ 8969-75"
Блок трубный 800х2050 (Р60х1.4ММх80) Ст3 ГОСТ 10704-91
Блок трубный 800х650 (Р88.9х1.6ММх10; Р60х1.4ММх14) Ст3 ГОСТ 10704-91
Блок трубный 800х1050 (Р88.9х1.6ММх20; Р60х1.4ММх14) Ст3 ГОСТ 10704-91
Закладная деталь EP-140 A
Закладная деталь SP-100A
Крышка рифленая 902.5х820ММ Ст3сп ГОСТ 8568-77
Крышка рифленая 4.5х877.5х752.5ММ Ст3сп ГОСТ 8568-77
Крышка рифленая 4.5х902.5х777.5ММ Ст3сп ГОСТ 8568-77
Крышка рифленая 4.5х902.5х892.5ММ Ст3сп ГОСТ 8568-77
Крышка рифленая 4.5х902.5х437.5ММ Ст3сп ГОСТ 8568-77
Крышка рифленая 4.5х712.5х1115ММ Ст3сп ГОСТ 8568-77
Крышка рифленая 4.5х675х1115ММ Ст3сп ГОСТ 8568-77
Крышка рифленая 4.5х712.5х800ММ Ст3сп ГОСТ 8568-77
Крышка рифленая 4.5х675х800ММ Ст3сп ГОСТ 8568-77
Крышка рифленая 4.5х712.5х835ММ Ст3сп ГОСТ 8568-77
Крышка рифленая 4.5х675х835ММ Ст3сп ГОСТ 8568-77
Опора неподвижная МВН 1316-24 Тип ⅡСерия ТС-01-13
Шпилька ø19х150 мм
Шпилька Ø16х150 мм
Шпилька Ø22х190мм
Шпилька Ø19х170мм
Шпилька М16х120ММ
Сталь рулонная 0.5х1250 ASTM A240-316L
Сталь рулонная 0.7х1250 ASTM A240-316L
Сталь рулонная 1.2х1250 ASTM A240-316L
Сталь рулонная 1.6х1250 ASTM A240-316L
Сталь рулонная 0.6х1250 ASTM A240 316L
Отвод 90 6.35х0.76 медь
Отвод 90 9.52х0.76 медь
Отвод 90 12.7х0.89 медь
Отвод 90 15.88х1.02 медь
Отвод 90 19.05х1.07 медь
Отвод 90 22.22х1.14 медь
Отвод 90 28.58х1.27 медь
Отвод 90 34.92х1.40 медь
Отвод 90 41.28х1.52 медь
Отвод 90 53.98х1.78 медь
Отвод 90 66.68х2.03 медь
Отвод 90 79.38х2.29 медь
Отвод 90 92.08х2.54 медь
Отвод 90 104.78х2.79 медь
Тройник 9.52х0.76-6.35х0.76-9.52х0.76 медь
Тройник 15.88х1.02-12.7х0.89-15.88х1.02 медь
Тройник 19.05х1.07-12.7х0.89-15.88х1.02 медь
Тройник 19.05х1.07-12.7х0.89-19.05х1.07 медь
Переходник 15.88х1.02-12.7 х0.89 медь
Переходник 19.05х1.07-12.7х0.89 медь
"Муфта 6,35ММ медь"
"Муфта 9,52ММ медь"
"Муфта 12,7ММ медь"
"Муфта 15,88ММ медь"
"Муфта 19,05ММ медь"
"Муфта 22,22ММ медь"
"Муфта 28,58ММ медь"
"Муфта 34,92ММ медь"
"Муфта 41,28ММ медь"
"Муфта 53,98ММ медь"
"Муфта 66,68ММ медь"
"Муфта 79,38ММ медь"
"Муфта 92,08ММ медь"
"Муфта 104,78ММ медь"
Переходник 9.52х0.76-6.35х0.76 медь
Профиль квадратный горячеоцинкованный 100х100х4t
Закладная деталь EP-400
Закладная деталь EP-PS-300
Закладная деталь EP-CS-200
Настил решетчатый 398 t=30
Настил решетчатый 1098х1098 t=30
Шпилька Ø16х150мм
Переходник ПЭ-сталь 250х219х6ММ ТУ 2248-001-86324344-2009
Tруба 219х11-1-С ТУ 14-3Р-77-2004
Tруба 25х4 ГОСТ 8734-75 В20 ГОСТ 8733-74
Tруба 20х4 ГОСТ 8734-75 В20 ГОСТ 8733-74
"Труба бесшовная (SMLS) DN 14"" (355.6х19.05) NACE MR0175 ASME B36.10M А333 Gr6"
Tруба 32х4
Труба 89х4 Ст20 ТУ 14-ЗР-1128-2007
Труба 57х4 Ст20 ТУ 14-ЗР-1128-2007
Труба 25х3 ГОСТ 8734-75 В20 ГОСТ 8733-74
Трубы 530х10 Ст20 ТУ 14-3-1573-96
Труба 108х5-20
ТРУБА  22Х3 ГР.В 10Г2
ТРУБА  32Х3 ГР.В 10Г2
"ТРУБА 89Х4 ММ-20 БЕСШОВНАЯ, С ЗАВОДСКОЙ ИЗОЛЯЦИЕЙ 3Х СЛОЙНАЯ УСИЛЕННОГО ТИПА"
Tруба стальная бесшовная Ø273х8
Труба стальная электросварная прямошовная 920х10мм
Труба стальная электросварная с полимерно-битумной изоляцией
Труба 720х7 ГОСТ 10704-91 Ст3сп К50 ГОСТ 10705-80 с изоляцией
Труба 32х4 Ст20 ТУ 14-3Р-1128-2007
Труба 273х7 ГОСТ 10704-91 СтЗсп ГОСТ 10705-80 с изоляцией
Труба 33.7х3 ГОСТ 8734-75 В20 ГОСТ 8733-74
Труба 273х9 Ст20 ТУ 14-3Р-1128-2007
"Труба 32х3,5 ГОСТ 8734-75 В20 ГОСТ 8733-74 с наружным антикоррозионным полиэтиленовым покрытием"
Фланец 1-300-1 Ст 3 ГОСТ 12820-80
АРМАТУРА 16 А1
Арматура 12 А3
Полоса стальная 40х6ММ ГОСТ 14637-89 ст3сп5
Пластина стальная концевая PL 50х50х6 ГОСТ 14637-89 Ст3сп5
"Крышка из рефленой стали LP-4,5 ГОСТ 8568-77"
"Труба медная Ø25,4мм"
"Труба медная Ø22,2мм"
"Труба медная Ø34,9мм"
"Труба медная Ø28,6мм"
"Труба медная Ø9,53мм"
"Труба медная Ø6,35мм"
"Труба медная Ø19,1"
"Труба медная Ø12,7"
"Труба медная Ø15,9"
Вышка пожарная ПВ-7 7М УХЛ ТУ 4854-011-54883547-11
"Лист металлический гофрированный t=0,53ММ RAL5005"
"Лист металлический гофрированный t=0,53ММ RAL9003"
"Кран шаровой с ручным приводом DN15 PN4,0"
Фланец стальной Ру=16кгс/см2 ∅50
Фланец стальной Ру=16кгс/см2 ∅25
Кран Маевского
Клапан балансировочный ручной MSV-I ∅25
Клапан запорный MSV-M ∅25
Грязевик абонентский ∅50
Вентиль запорный фланцевый ∅25
Вентиль запорный муфтовый ∅20
Вентиль запорный муфтовый ∅15
Задвижка ду 50мм Ру10
Блок трубный 1250х600 (Р88.9х48) Ст3
Блок трубный 1850х600 (Р114.3х60) Ст3
Блок трубный 1700х500 (Р114.3х56) Ст3
Блок трубный 900х600 (Р114.3х35) Ст3
Блок трубный 600х200 (Р139.7х4) Ст3
Блок трубный 700х650 (Р88.9х14) Ст3
"Блок трубный 700х550 (Р60х16, P88.9х6) Ст3 "
Блок трубный 1650х600 (Р60х50) Ст3
Блок трубный 900х500 (Р60х25) Ст3
"Блок трубный 1300х600 (Р114х3, P60х30) Ст3"
Блок трубный 550х350 (88.9х15) Ст3
Блок трубный 550х500 (Р88.9х16) Ст3
Блок трубный 950х700 (Р88.9х18) Ст3
Блок трубный 300х300 (Р88.9х9) Ст3
Блок трубный 850х600 (Р88.9х54) Ст3
Блок трубный 850х750 (Р88.9х72) Ст3
Блок трубный 750х600 (Р114.3х30) Ст3
Блок трубный 800х600 (Р88.9х48) Ст3
"Фланец стальной DN200 PN1,0 ГОСТ 12820-80"
Фланец 3-80-63 Ст 20 ГОСТ 12815-80
Фланец 3-100-63 Ст 20 ГОСТ 12815-80
Фланец 3-200-63 Ст 20 ГОСТ 12821-80
Фланец 2-100-63 Ст 20 ГОСТ 12815-80
Фланец 2-80-63 Ст 20 ГОСТ 12815-80
Фланец 2-200-63 Ст 20 ГОСТ 12815-80
Фланец 3-32-1.6 Ст 20 ГОСТ 12815-80
Фланец 2-32-1.6 Ст 20 ГОСТ 12815-80
ЗАГЛУШКА ЭЛЛИПТИЧЕСКАЯ 1 108Х8
ЗАГЛУШКА П 108Х4 09Г2С
Фланец 2-50-63 ст1 20
Прокладка 20-ПОН
Фланец 1-50-16 ст.20 ГОСТ 12821-80
Прокладка Б-50-63-ПМБ
Заглушка поворотная 2-50-6.3 20 АТК 26-18-5-93
Фланец плоский тип 1 DN80 PN16
Фланец плоский тип 1 DN100 PN16
Фланец плоский тип 1 DN150 PN16
Фланец плоский тип 1 DN200 PN16
Фланец плоский тип 1 DN50 PN16
Заглушка стальная поворотная плоская ЗП(I) 50-16/20К
Фланец 3-50-63
Прокладка Д-200-8.6 ПОН ГОСТ 15180-86
Прокладка Д-50-8.6 ПОН ГОСТ 15180-86
Прокладка Б-100-63 ПОН ГОСТ 15180-86
Прокладка Б-80-63 ПОН ГОСТ 15180-86
Прокладка Б-50-63 ПОН ГОСТ 15180-86
Прокладка Б-32-16 ПОН ГОСТ 15180-86
Заглушка поворотная 2-80-6.3 20 АТК 26-18-5-93
Фланец ø32
Деталь закладная PL-15 4-D16 320ММ 250х250х15ММ
Крышка рифленая 4.5х860х425ММ Ст3сп ГОСТ 8568-77
Крышка рифленая 4.5х860х1025ММ Ст3сп ГОСТ 8568-77
Труба 100х0.63ММ Ст1  RAL 5005  ГОСТ 14918-80 покрытие полимерное
Лоток водосточный оцинкованный 21000х153х189х1ММ полимерное покрытие RAL 5005 ГОСТ 14918-80
Лоток водосточный оцинкованный 57000х153х189х1ММ полимерное покрытие RAL 5005 ГОСТ 14918-80
Лоток водосточный оцинкованный 17000х153х189х1ММ полимерное покрытие RAL 5005 ГОСТ 14918-80
Лоток водосточный оцинкованный 13000х153х189х1ММ полимерное покрытие RAL 5005 ГОСТ 14918-80
Кронштейн К1 4х40х720ММ RAL 5005 ГОСТ 103-2006
Воронка желоба оцинкованная 100х154ММ с полимерным покрытием RAL 5005
"Отвод оцинкованный 70 100х0,63ММ с полимерным покрытием RAL 5005"
"Отвод нижний оцинкованный 70 100х0,63ММ с полимерным покрытием RAL 5005"
Заглушка для лотка оцинкованная 153х189х1ММ с полимерным покрытием RAL 5005
Хомут-кронштейн 40х1 L=500мм для крпеления водосточной трубы
Решетка индивидуальная 1480х1725ММ
Опора ОПБ2-32
Переход П К-1-33.7x4.5-26.9х4 ГОСТ 17378-2001
Переход ПЭ 108х6-89х6-20 ГОСТ 17378-2001
Тройник П 89х4-57х4-20 ГОСТ 17376-2001
Опора ОПБ2-23
Переход ПК 159х10-57х5 Сталь 20 ГОСТ 17378-2001
"Переход ПШ 377(22К42)-273(8К42)-8,0-09Г2С-УХЛ-И1 ТУ 1469032-04834179-2012"
"Переход ПШ 325(22К48)-273х(10К42)-8,0-09Г2С-УХЛ-И1 ТУ 1469032-04834179-2012"
"Переход ПШ 325(22К48)-273х(8К42)-8,0-09Г2С-УХЛ-И1 ТУ 1469032-04834179-2012"
Переход П К 219х10-57х4	ГОСТ 17378-2001
ОТВОД П 90° Ø89Х4
ОТВОД 45-89Х4 СТ. 09Г2С
ПЕРЕХОД К-57Х5-32Х3
ТРОЙНИК 273Х16-159Х11 ГОСТ 17376-2001
"ТРОЙНИК 33,7Х4,5 ГОСТ 17376-2001"
"ТРОЙНИК89Х3,5"
ТРОЙНИК89Х6 ГОСТ 17376-2001
ТРОЙНИК 108Х6-89Х6 ГОСТ 17376-2001
"ТРОЙНИК 26,9Х3,2 ГОСТ 17376-2001"
"ТРОЙНИК 33,7Х4,5-21,3Х4,0 ГОСТ 17376-2001"
Переход К 57х4-32х3 ст20 ГОСТ 17378-2001
"Отвод П 90-26,9х3,2-20 ГОСТ 17375-2001"
